,Country,Total Cases,New Cases,Total Deaths,New Deaths,Total Recovered,New Recovered,Active Cases,Serious/Critical,Tot Cases/1M,Deaths/1M,Total Tests,Tests/1M,Population,Continent,%Inc Cases,%Inc Deaths,%Inc Recovered
131,Fiji,63509,33.0,820,1.0,61685,92.0,1004,-1,70024.0,904.0,494533,545261,906966,Australia/Oceania,0.0519611393660741,0.12195121951219512,0.14914484882872658
132,Madagascar,62844,-1.0,1335,-1.0,56500,-1.0,5009,224,2179.0,46.0,387097,13421,28842619,Africa,-0.0015912418051047036,-0.0749063670411985,-0.0017699115044247787
133,Guyana,62265,109.0,1196,6.0,59398,468.0,1671,9,78548.0,1509.0,524656,661859,792700,South America,0.17505821890307555,0.5016722408026756,0.7879053166773292
134,Sudan,59903,272.0,3831,-1.0,40329,-1.0,15743,-1,1316.0,84.0,562941,12371,45505759,Africa,0.45406740897784753,-0.026102845210127904,-0.0024796052468447024
135,Mauritania,58575,6.0,973,1.0,57343,52.0,259,30,12084.0,201.0,719501,148432,4847360,Africa,0.010243277848911651,0.10277492291880781,0.09068238494672409
136,French Polynesia,56658,2805.0,637,-1.0,0,0.0,0,7,199825.0,2247.0,-1,-1,283538,Australia/Oceania,4.950757174626707,-0.15698587127158556,
137,Cabo Verde,55844,2.0,400,-1.0,55366,17.0,78,23,98705.0,707.0,400982,708742,565766,Africa,0.0035814053434567723,-0.25,0.030704764657009716
138,Belize,55518,335.0,632,1.0,51305,1057.0,3581,6,135637.0,1544.0,485497,1186129,409312,North America,0.6034079037429302,0.15822784810126583,2.0602280479485433
139,Syria,52881,130.0,3032,3.0,43379,372.0,6470,-1,2907.0,167.0,146269,8042,18188464,Asia,0.24583498799190637,0.09894459102902375,0.8575578044675995
140,Barbados,51895,271.0,299,-1.0,45497,345.0,6099,-1,180225.0,1038.0,567691,1971526,287945,North America,0.5222083052317179,-0.33444816053511706,0.7582917555003627
141,Gabon,47446,20.0,302,-1.0,44222,335.0,2922,3,20533.0,131.0,1558188,674334,2310706,Africa,0.042153184673102057,-0.33112582781456956,0.7575414951833929
142,Channel Islands,47228,862.0,139,2.0,44178,1087.0,2911,-1,267644.0,788.0,1198282,6790749,176458,Europe,1.8251884475311255,1.4388489208633095,2.460500701706732
143,Papua New Guinea,38671,190.0,610,-1.0,36743,262.0,1318,7,4194.0,66.0,249149,27019,9221329,Australia/Oceania,0.49132424814460446,-0.16393442622950818,0.71306099120921
144,Curaçao,38394,14.0,258,2.0,37318,97.0,818,3,232437.0,1562.0,472901,2862943,165180,North America,0.0364640308381518,0.7751937984496124,0.25992818479018165
145,New Caledonia,38386,3343.0,284,-1.0,25052,3779.0,13050,49,132392.0,980.0,98964,341322,289943,Australia/Oceania,8.708904288021674,-0.35211267605633806,15.084623982117195
146,Seychelles,38120,-1.0,157,-1.0,36737,-1.0,1226,-1,383760.0,1581.0,-1,-1,99333,Africa,-0.0026232948583420775,-0.6369426751592357,-0.0027220513378882327
147,Burundi,37883,-1.0,38,-1.0,773,-1.0,37072,-1,3040.0,3.0,345742,27740,12463509,Africa,-0.002639706464641132,-2.631578947368421,-0.129366106080207
148,Andorra,37277,137.0,149,1.0,36358,605.0,770,14,481211.0,1923.0,249838,3225173,77465,Europe,0.3675188454006492,0.6711409395973155,1.6640079212277903
149,Togo,36660,10.0,271,-1.0,35145,302.0,1244,-1,4266.0,32.0,675981,78670,8592658,Africa,0.027277686852154936,-0.36900369003690037,0.8592971973253662
150,Mayotte,36572,-1.0,187,-1.0,2964,-1.0,33421,-1,129018.0,660.0,176919,624130,283465,Africa,-0.0027343322760581866,-0.53475935828877,-0.033738191632928474
